"","text","sentiment"
"1","Pompe Drug Lauded by Trump Costs  300 000 a Year","Neutral"
"2","Bolivia s Morales Travels to Cuba for Medical Evaluation","Neutral"
"3","Eleven Bodies  Some With Signs of Torture  Found in Mexico s Veracruz","Negative"
"4","France s Macron Targets Political Sleaze Ahead of Manifesto Release","Neutral"
"5","Four in French Police Custody for Planning an Attack  Source","Negative"
"6","Afghan Based Islamic State a Wild Card as Trump Ponders U S  Commitment","Neutral"
"7","UN Urged to Add 11 Parties to List of Child Rights Violators","Negative"
"8","Chilean Police Raid Odebrecht Offices in Santiago","Neutral"
"9","Argentina Demands Answers From Brazil Over Falklands Flights","Neutral"
"10","Samba School Portela Wins Rio Carnival Parade After 33 Years","Neutral"
"11","Colombian Rebels Take Step Toward Surrendering Weapons","Neutral"
"12","Senior Al Qaeda Leader Killed by CIA Drone Strike  U S  Official","Very Negative"
"13","The Latest  Greece Searches for Boat With Up to 80 on Board","Neutral"
"14","Data Stolen From 2 400 U S  Employees at Car Parts Maker Autoneum","Negative"
"15","El Salvador Reports Sharp Drop in Homicides So Far in 2017","Positive"
"16","Hundreds of North American Bee Species Face Extinction  Study","Neutral"
"17","Mexican Lawyer Asks Trump to Deport Drug Lord  El Chapo ","Neutral"
"18","Waiting for May  EU Pencils April 6 7 Brexit Summit","Neutral"
"19","Anniversary of Denmark Eviction Riots Brings Unrest  Arrests","Negative"
"20","Abuse Victim Quits Vatican Commission  Citing  Resistance ","Very Negative"
"21","Ethiopia Says Planned Attack on Giant Dam Project Thwarted","Negative"
"22","Britain Says EU Trade Deal Would Ease Irish Brexit Border Riddle","Positive"
"23","Sudan s Bashir Names Long Time Ally and General Prime Minister","Neutral"
"24","After Trump Win  Anti Soros Forces Are Emboldened in Eastern Europe","Positive"
"25","Greeks Protest as Government  Lenders Discuss New Austerity","Negative"
"26","Bank of Mexico Drops 2017 Growth Forecast to 1 3 1 5 Pct","Neutral"
"27","EU Criticizes Russian Law Easing Domestic Violence Penalties","Neutral"
"28","Argentina s Macri Pledges Transparency as Prosecutors Probe Family Ties","Neutral"
"29","UK Government to Try to Overturn Parliamentary Defeat on Brexit Legislation  Source","Neutral"
"30","Syrian Government Puts  Terrorism  on Geneva Agenda  Source","Negative"
"31","UK Government Says Disappointed by Loss of Parliamentary Vote on Brexit Legislation","Very Negative"
"32","Armenia Backed Separatists Say One Soldier Killed in Clashes With Azeri Forces","Negative"
"33","Argentina Prosecutor Launches Probe Into Macri Over Avianca","Neutral"
"34","Factbox  Main Themes of Trump s Speech to Congress","Neutral"
"35","UK PM May s Brexit Plan Suffers Setback in Parliament","Very Negative"
"36","U S  Charges 19 in International Fraud  Money Laundering Scheme","Negative"
"37","Anti Austerity Protest in Athens Near Greek Bailout Talks","Negative"
"38","German Parliament Suffers Internet Outage but No Signs of Attack","Neutral"
"39","U S  General Says No Evidence of YPG Attacks From Northern Syria on Turkey","Neutral"
"40","Syrian Observatory Says Syrian Army  Allies Push Into Palmyra","Neutral"
