"","text","sentiment"
"1","The Latest  Senate GOP Says Budget Plan Not Ready","Neutral"
"2","Solar Companies Agree on Deal With Arizona s Biggest Utility","Neutral"
"3","Cuomo Set for Israel Visit in Support of Jewish Community","Positive"
"4","Nielsen  Nearly 48 Million Watch Trump s Address to Nation","Neutral"
"5","Ex NFL Player Headed to Prison for 6 Years in Ponzi Scheme","Negative"
"6","Texas Rangers to Investigate Baylor Handling of Sex Assaults","Neutral"
"7","Was Trump Tribute to Fallen Navy SEAL Fitting or Calculated ","Negative"
"8","APNewsBreak  West Point Cadets Face Courts Martial for Drugs","Neutral"
"9","Inmates Ask Arkansas Court to Void Orders Setting Executions","Neutral"
"10","Indiana Woman Says She Smothered Kids to Death to Save Them","Very Negative"
"11","Current  Ex Kentucky Governors Battle Over Health Law Legacy","Neutral"
"12","Police  Officer Shot Man Pointing Knife at Him","Negative"
"13","The Latest  Protester Names Removed From Memphis Police List","Neutral"
"14","Trump Trade Office Takes Aggressive View of WTO Rules  Document","Negative"
"15","Maine Court Told to Reconsider Police Role in Deadly 2015 Rampage","Very Negative"
"16","Senate Democrats Seek Trump Tax Returns","Neutral"
"17","Yahoo Punishes CEO in Latest Fallout From Security Breakdown","Very Negative"
"18","Senate Roll Call Vote on Interior Secretary","Neutral"
"19","The Latest  Deputy  4 Dead in Oregon Fire Were Children","Negative"
"20","Virginia Tech Student to Be Tried This Fall in Teen Slaying","Negative"
"21","A Night of Tornadoes  3 Are Dead as Storms Sweep the Midwest","Negative"
"22","Top Selling Vehicles in the US in February","Neutral"
"23","Seven Baltimore Police Officers Arrested on Racketeering Charges","Neutral"
"24","Republicans in Pence s Indiana Warn of Health Repeal Fallout","Negative"
"25","Bill Would Make Welfare of Pets a Factor in Divorce Cases","Neutral"
"26","After Backlash  U  Iowa Restores Scholarships That Were Cut","Neutral"
"27","The Latest  California Snowpack Nearing Record Depths","Neutral"
"28","Trump Touts Support for NATO  but Expansion Languishes in Senate","Neutral"
"29","How Major US Stock Market Indexes Fared on Wednesday","Neutral"
